config_id,delta_window,p_window,g_window,eps_g,tau_delta,tau_p,p_min,p_z_threshold,k_consec_alarm,warmup_bars,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,total_alarm_count_events,total_pre_collapse_alarm_count,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,control_row_fp_accepted,total_control_alarm_rows,total_control_rows,provisional_score
cfg_000722,30,30,8,0.02,-0.05,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000724,30,30,8,0.02,-0.05,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000726,30,30,8,0.02,-0.05,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000734,30,30,8,0.05,-0.05,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000736,30,30,8,0.05,-0.05,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000738,30,30,8,0.05,-0.05,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000746,30,30,8,0.1,-0.05,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000748,30,30,8,0.1,-0.05,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000750,30,30,8,0.1,-0.05,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000758,30,30,8,0.15,-0.05,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000760,30,30,8,0.15,-0.05,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000762,30,30,8,0.15,-0.05,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000806,30,30,16,0.15,-0.05,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000808,30,30,16,0.15,-0.05,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000809,30,30,16,0.15,-0.05,0.0,0.1,1.0,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000810,30,30,16,0.15,-0.05,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000812,30,30,16,0.15,-0.02,0.0,0.02,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000814,30,30,16,0.15,-0.02,0.0,0.05,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
cfg_000816,30,30,16,0.15,-0.02,0.0,0.1,1.5,5,0,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,0,0,28,1,27,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_23', 'volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_25', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'volmageddon_control_2018_02_07', 'volmageddon_control_2018_02_08', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27', 'covid_noncollapse_2020_03_30', 'covid_noncollapse_2020_03_31', 'covid_noncollapse_2020_04_01', 'covid_noncollapse_2020_04_02', 'covid_noncollapse_2020_04_03']",0.03571428571428571,4.043835173278337e-05,True,False,1,24729,-999040192.8167045
